지점,지점명,일시,평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm),평균풍속(m/s)
115,울릉도,1938-08,,,105.2,
115,울릉도,1938-09,22.7,17.9,153.1,4.5
115,울릉도,1938-10,18.2,13.6,81.6,5.6
115,울릉도,1938-11,11.6,6.4,196.1,5.7
115,울릉도,1938-12,5.6,.7,70.3,4.6
115,울릉도,1939-01,2.8,-2.5,87.5,4.7
115,울릉도,1939-02,3.1,-1.6,134.8,4.6
115,울릉도,1939-03,7.3,1.6,89.8,5.2
115,울릉도,1939-04,13.7,8,36.7,6.2
115,울릉도,1939-05,17.2,11.3,49.7,6.2
115,울릉도,1939-06,22.6,16.6,51.1,6.4
115,울릉도,1939-07,28.5,22,8.6,5.7
115,울릉도,1939-08,27.3,22.6,56.5,5.1
115,울릉도,1939-09,24.7,19.3,158.8,4
115,울릉도,1939-10,19.3,13.8,146.4,5.6
115,울릉도,1939-11,12.6,7.4,174.7,5.4
115,울릉도,1939-12,7.1,1.3,23.6,4.9
115,울릉도,1940-01,.1,-4.4,229.2,5.1
115,울릉도,1940-02,2.7,-2.2,91.5,6.1
115,울릉도,1940-03,8.7,1.6,38.9,5.5
115,울릉도,1940-04,13.4,6.4,126.3,7.6
115,울릉도,1940-05,20,12.6,51.7,7.2
115,울릉도,1940-06,21.5,15.5,92.7,5
115,울릉도,1940-07,24.7,19.7,191.1,8.3
115,울릉도,1940-08,25.8,20.4,33.7,4.1
115,울릉도,1940-09,21.8,16.7,140.1,6.5
115,울릉도,1940-10,19.5,13.9,82.9,5
115,울릉도,1940-11,14.2,8.6,63.2,5.4
115,울릉도,1940-12,7.8,2.4,179.9,5.4
115,울릉도,1941-01,5.3,-.8,105.2,4.7
115,울릉도,1941-02,4.7,-1.4,57,4.9
115,울릉도,1941-03,9.4,2.4,48.3,6.9
115,울릉도,1941-04,13.2,6.4,33.6,7.8
115,울릉도,1941-05,17.7,11.6,76.8,5
115,울릉도,1941-06,21.3,15.7,108.1,6.5
115,울릉도,1941-07,21.7,17.5,119.1,5.4
115,울릉도,1941-08,24.9,20.7,108.2,5.2
115,울릉도,1941-09,21.6,16.8,129.8,4.5
115,울릉도,1941-10,18.3,12.4,81.2,6.7
115,울릉도,1941-11,13.6,8.5,127.6,5.2
115,울릉도,1941-12,8.5,2.9,131.1,5.1
115,울릉도,1942-01,1.9,-3,231.7,5.1
115,울릉도,1942-02,2.4,-2.5,89.4,5.1
115,울릉도,1942-03,10.3,3.6,135.4,7.2
115,울릉도,1942-04,14.3,7.8,55.9,8.3
115,울릉도,1942-05,17,11.3,23.5,6
115,울릉도,1942-06,24,17.6,33.3,4.9
115,울릉도,1942-07,30,23.1,32.1,5.1
115,울릉도,1942-08,26.4,21.5,311.2,4.8
115,울릉도,1942-09,22.7,17.6,338.2,4.8
115,울릉도,1942-10,18.2,12.4,28.3,4.5
115,울릉도,1942-11,11.9,6,88.9,5.2
115,울릉도,1942-12,5.8,1,332.3,5.4
115,울릉도,1943-01,2.2,-3.3,121.6,4.4
115,울릉도,1943-02,3.9,-1.4,40.4,6.1
115,울릉도,1943-03,7.5,2.3,80.1,5.6
115,울릉도,1943-04,12.9,6.6,27.4,6.2
115,울릉도,1943-05,18,11.8,25.7,6
115,울릉도,1943-06,21.7,16.1,85.1,5.2
115,울릉도,1943-07,24.5,19.9,206.5,5.1
115,울릉도,1943-08,28.6,23.4,23.1,4.7
115,울릉도,1943-09,23.3,18.6,243.4,4.4
115,울릉도,1943-10,18.6,12.6,244,4.1
115,울릉도,1943-11,12.4,6.3,75.7,5.2
115,울릉도,1943-12,8.2,2.3,48,5.5
